,Without Risk Management,With Risk Management
Sharpe Ratio,0.21127380075951926,-0.3817837053040799
CAGR,-0.022099961502878185,-0.008954610455732315
Max Drawdown,-0.8907353693908892,-0.17700051185804458
Volatility,0.3870612441397585,0.0228490439053097
Calmar Ratio,-0.024810917206522048,-0.05059087322252471
